patterns,tag
hostel for girls,hostel
hostel facility,hostel
oncampus hostel,hostel
incampus hostel,hostel
are you a bot?,test_pattern
are you a human?,test_pattern
am I talking to a bot?,test_pattern
am I talking to a human?,test_pattern
who are you?,test_pattern
what is your name?,test_pattern
what are you?,test_pattern
What is the information regarding negative marking ? ,negative_marking
What are the details about the negative marking ? ,negative_marking
What are the updates in regards to the negative marking system ? ,negative_marking
Is there any information available about the negative marking ? ,negative_marking
How will the negative marking take place ? ,negative_marking
Is There Any Need Of Domicile If We Apply Online From As Overseas Pakistani? ,Domicile
Does an Overseas Pakistani also has to provide domicile for applying online ? ,Domicile
"Being an Overseas Pakistani, Do I too have to provide a domicile in order to apply online ? ",Domicile
Is domicile required even from Overseas Pakistani while online application ? ,Domicile
"Applying online as an overseas Pakistani, Will I still have to provide a domicile? ",Domicile
Will a domicile still be necessary if I apply online as an overseas Pakistani ? ,Domicile
What are the ideal marks required for an admission,aggregate
duration of graduation,graduation
how many credit hours are required to graduate,graduation
credit hours for graduation,graduation
 how many credit hours are in bachelors degree for graduation,graduation
 graduation period,graduation
 maximum years to graduate,graduation
how to contact IIT BHU,contact
contact details,contact
how to connect with IIT BHU,contact
how to reach IIT BHU,contact
IIT BHU contact number,contact
IIT BHU contact ,contact
Spring admission? ,spring_admission
I need instructions regarding the spring admissions? ,spring_admission
What are the updates about the spring admissions ? ,spring_admission
I need information of the spring admissions ? ,spring_admission
What is the information announced about the spring admissions ? ,spring_admission
What are the details of the spring admissions ?  ,spring_admission
admission in spring semester,spring_admission
 what about spring semester admission,spring_admission
What is the procedure of a readmission in an undergraduate program for former students?,Admission_of_former
What procedure do former students have to go through in order to take an admission in an undergraduate program ?,Admission_of_former
Does admission test is necessary for readmission in an undergraduate program?,Admission_of_former
Can a former student on disciplinary warning take readmission into university?,Admission_of_former
how former student can apply for admission,Admission_of_former
Can a former student who has been on disciplinary warning get a readmission ?,Admission_of_former
Is it possible for a former student to get a readmission eventhough he has been on a disciplinary warning ?,Admission_of_former
What happens if a student on disciplinary warning wants to take readmission in university?,Admission_of_former
How many times can a former student who has been on 3rd academic warning gain readmission ?,Admission_of_former
Can a former student who has been on disciplinary warning get a readmission ?,Admission_of_former
Can a student with 3 academic warnings take admission?,Admission_of_former
How many times a student is allowed to take admission after 3 academic warnings?,Admission_of_former
